Grant,Organization,"Main Topic",Topics,"Date of Award",Amount
"Evidence Action — Dispensers for Safe Water Program (2020)","Evidence Action","Global Health & Development","Global Health & Development",12/2020,"$50,000"
"Evidence Action — Dispensers for Safe Water Program (February 2022)","Evidence Action","Global Health & Development","Global Health & Development",02/2022,"$48,823,039"
"Evidence Action — General Operating Support","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",12/2017,"$800,000"
"Evidence Action — Impact Evaluation of Iron and Folic Acid Supplementation","Evidence Action","Global Health & Development","Global Health & Development",03/2019,"$800,000"
"Evidence Action — In-Line Chlorination in Malawi","Evidence Action","Global Health & Development","Global Health & Development",07/2022,"$4,449,309"
"Evidence Action — Iron and Folic Acid Supplementation in India","Evidence Action","Global Health & Development","Global Health & Development",09/2022,"$9,216,654"
"Evidence Action — No Lean Season","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2016,"$812,351"
"Evidence Action — No Lean Season","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",12/2016,"$1,687,500"
"Evidence Action — No Lean Season (December 2017)","Evidence Action","Global Health & Development","Global Health & Development",12/2017,"$11,500,000"
"Evidence Action — Planning for Future Programs","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2014,"$250,000"
"Evidence Action — Scale-Up of In-Line Chlorination in India","Evidence Action","Global Health & Development","Global Health & Development",01/2024,"$33,433,533"
"Evidence Action — Scale-Up of In-Line Chlorination in India (October 2023)","Evidence Action","Global Health & Development","Global Health & Development",10/2023,"$4,190,005"
"Evidence Action — Seasonal Income Support Project","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2015,"$170,792"
"Evidence Action — Strengthen Operations","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",04/2017,"$2,642,300"
"Evidence Action — Strengthen Operations (2019)","Evidence Action","Global Health & Development","Global Health & Development",03/2019,"$7,751,915"
"Evidence Action — Syphilis Screening and Treatment","Evidence Action","Global Health & Development","Global Health & Development",08/2022,"$13,153,119"
"Evidence Action Beta — Incubator Program","Evidence Action Beta","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",07/2018,"$5,069,866"
"Evidence Action Beta — Iron and Folic Acid Supplementation","Evidence Action","Global Health & Development","Potential GiveWell Top Charities; Global Health & Development",03/2018,"$320,000"
"Evidence Action Beta — Iron and Folic Acid Supplementation (“Phase 2”)","Evidence Action Beta","Global Health & Development","Global Health & Development",11/2018,"$3,408,259"
"Evotec — Henipavirus Antivirals",Evotec,"Scientific Research","Scientific Research",03/2023,"$1,830,588"
"Existential Risk Alliance – Cambridge AI Fellowship (2024)",ERA,"Global Catastrophic Risks","Global Catastrophic Risks",01/2024,"$767,585"
"Existential Risk Alliance — Cambridge Fellowship (2023)",ERA,"Effective Giving and Careers","Effective Giving and Careers; Global Catastrophic Risks",01/2023,"$822,620"
"Exscientia — Agonists for Interferon Lambda",Exscientia,"Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2023,"$2,300,000"
"FABRIC — General Support",FABRIC,"Global Catastrophic Risks","Global Catastrophic Risks",02/2024,"$1,436,000"
"FABRIC — General Support (2024)",FABRIC,"Global Catastrophic Risks","Global Catastrophic Risks",11/2024,"$582,000"
"FABRIC — Rationality Camp Programs",FABRIC,"Global Catastrophic Risks","Global Catastrophic Risks",01/2024,"$500,000"
"FAI Farms — Aquaculture Welfare Reforms","FAI Farms","Fish Welfare","Fish Welfare; Farm Animal Welfare",08/2023,"$1,919,600"
"FAI Farms — Tilapia Welfare","FAI Farms","Farm Animal Welfare","Farm Animal Welfare",04/2019,"$426,000"
"Fair and Just Prosecution — General Support","Fair and Just Prosecution","Criminal Justice Reform","Criminal Justice Reform",01/2017,"$1,500,000"
"Fair and Just Prosecution — General Support (2019)","Fair and Just Prosecution","Criminal Justice Reform","Criminal Justice Reform",02/2019,"$1,500,000"
"Fair and Just Prosecution — General Support (2021)","Fair and Just Prosecution","Criminal Justice Reform","Criminal Justice Reform",01/2021,"$1,500,000"
"Fair Share Housing Center — Legal Work in New Jersey (2025)","Fair Share Housing Center","Abundance &amp; Growth","Abundance &amp; Growth",06/2025,"$600,000"
"Fair Share Housing Center — Legal Work in NJ","Fair Share Housing Center","Housing Policy Reform","Housing Policy Reform",05/2023,"$185,000"
"fair-fish international — Fish Welfare Standards for Aquaculture","fair-fish international association","Farm Animal Welfare","Farm Animal Welfare",11/2017,"$453,841"
"fair-fish international association — Database Support","fair-fish international association","Fish Welfare","Fish Welfare; Farm Animal Welfare",02/2024,"$112,058"
"fair-fish international association — General Support","fair-fish international association","Farm Animal Welfare","Farm Animal Welfare",03/2020,"$630,370"
"fair-fish international association — General Support (2022)","fair-fish international association","Farm Animal Welfare","Farm Animal Welfare",05/2022,"$690,000"
"fair-fish international association — General Support (2024)","fair-fish international association","Fish Welfare","Fish Welfare; Farm Animal Welfare",12/2024,"$518,430"
"fair-fish international association — Wild-Caught Fish Welfare Standards","fair-fish international association","Farm Animal Welfare","Farm Animal Welfare",11/2021,"$2,672,830"
"Faith in Action — Live Free Campaign (2018)","Faith in Action","Criminal Justice Reform","Criminal Justice Reform",05/2018,"$800,000"
"Faith in Action — Live Free Campaign (2019)","Faith in Action","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$400,000"
"Faith in Action — Street Certified","Faith in Action","Criminal Justice Reform","Criminal Justice Reform",12/2020,"$400,000"
"Faith in Texas — Criminal Justice Reform Work","Faith in Texas","Criminal Justice Reform","Criminal Justice Reform",08/2018,"$250,000"
"Faith in Texas — General Support","Faith in Texas","Criminal Justice Reform","Criminal Justice Reform",09/2016,"$637,000"
"Faith in Texas — Justice System Reform (2019)","Faith in Texas","Criminal Justice Reform","Criminal Justice Reform",12/2019,"$150,000"
"Families Against Mandatory Minimums — General Support","Families Against Mandatory Minimums","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$15,000"
"FAR AI — General Support","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",12/2022,"$625,000"
"FAR AI — Interpretability Research","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",12/2022,"$50,000"
"FAR AI — Inverse Scaling Prize","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",12/2022,"$49,500"
"FAR.AI — AI Alignment Research Projects","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",01/2024,"$645,750"
"FAR.AI — AI Alignment Research Projects (2024)","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2024,"$680,000"
"FAR.AI — AI Communications and Outreach","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",04/2025,"$2,420,253"
"FAR.AI — AI Field Building (2024)","FAR AI","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$1,800,000"
"FAR.AI — AI Field Building (2025)","FAR AI","Global Catastrophic Risks","Global Catastrophic Risks",04/2025,"$6,650,000"
"FAR.AI — AI Interpretability Research","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2023,"$100,000"
"FAR.AI — Alignment Workshop","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",09/2023,"$166,500"
"FAR.AI — FAR Labs Office Space","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",03/2023,"$280,000"
"FAR.AI — FAR Labs Office Space (2024)","FAR AI","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$1,700,000"
"FAR.AI — General Support (2023)","FAR AI","Potential Risks from Advanced AI","Potential Risks from Advanced AI",07/2023,"$460,000"
"FAR.AI — General Support (2024)","FAR AI","Global Catastrophic Risks","Global Catastrophic Risks",04/2024,"$2,160,000"
"Farm Forward — Chicken Welfare Advocacy","Farm Forward","Farm Animal Welfare","Farm Animal Welfare",01/2017,"$100,000"
"Farm Forward — Exit Grant","Farm Forward, Inc","Farm Animal Welfare","Farm Animal Welfare",01/2019,"$166,000"
"Farm Forward — Leadership Circle (2018)","Farm Forward","Farm Animal Welfare","Farm Animal Welfare",02/2018,"$165,691"
"Farmed Animal Funders — Fundraising Efforts","Farmed Animal Funders","Farm Animal Welfare","Farm Animal Welfare",11/2023,"$100,000"
"FAS — International Science Advisory Body for Biosecurity","Federation of American Scientists","Biosecurity and Pandemic Preparedness","Biosecurity and Pandemic Preparedness",09/2020,"$175,000"
"Faunalytics — Farm Animal Welfare Datasets",Faunalytics,"Farm Animal Welfare","Farm Animal Welfare",12/2024,"$35,000"
"Faunalytics — Farm Animal Welfare Goal Setting and Impact Tracking",Faunalytics,"Farm Animal Welfare","Farm Animal Welfare",03/2021,"$15,000"
"Faunalytics — KPI Dashboards for Farm Animal Welfare",Faunalytics,"Farm Animal Welfare","Farm Animal Welfare",08/2022,"$44,200"
"Federation of American Scientists — Biosecurity and Pandemic Preparedness Fellowship","Federation of American Scientists","Biosecurity and Pandemic Preparedness","Global Catastrophic Risks; Biosecurity and Pandemic Preparedness",08/2021,"$480,000"
"Federation of American Scientists — High-Skilled Immigration Policy","Federation of American Scientists","Immigration Policy","Immigration Policy",07/2021,"$600,000"
"FFAR — Farm Animal Welfare Research","Foundation for Food and Agriculture Research","Farm Animal Welfare","Farm Animal Welfare",04/2017,"$1,000,000"
"FIAPO — India Animal Welfare Reform","Federation of Indian Animal Protection Organisations","Farm Animal Welfare","Farm Animal Welfare",07/2017,"$332,944"
"FIAPO — India Farm Animal Welfare (2019)","Federation of Indian Animal Protection Organisations","Farm Animal Welfare","Farm Animal Welfare",06/2019,"$445,000"
"Fiocruz — Ethical Protections for Potential Tuberculosis Vaccine Trial",Fiocruz,"Scientific Research","Scientific Research",11/2023,"$165,770"
"Fish Welfare Initiative — Fish Welfare in India","Fish Welfare Initiative","Farm Animal Welfare","Farm Animal Welfare",08/2022,"$250,000"
"Fish Welfare Initiative — Fish Welfare in India (2025)","Fish Welfare Initiative","Fish Welfare","Fish Welfare; Farm Animal Welfare",02/2025,"$650,000"
"FishEthoGroup – Seabass and Seabream Environmental Enrichments",FishEthoGroup,"Farm Animal Welfare","Farm Animal Welfare",02/2024,"$647,204"
"Flanders Institute of Biotechnology — Syphilis Vaccine Research","Flanders Institute of Biotechnology","Scientific Research","Scientific Research",06/2022,"$731,828"
"Florida Rights Restoration Coalition — General Support","Florida Rights Restoration Coalition","Criminal Justice Reform","Criminal Justice Reform",08/2016,"$48,000"
"Florida Rights Restoration Coalition — General Support (2020)","Florida Rights Restoration Coalition","Criminal Justice Reform","Criminal Justice Reform",04/2020,"$400,000"
"Florida State University Project on Accountable Justice — General Support","Florida State University Project on Accountable Justice","Criminal Justice Reform","Criminal Justice Reform",02/2015,"$100,000"
"FNIH — Working Group on Malaria Gene Drive Testing Path","Foundation for the National Institutes of Health","Scientific Research","Scientific Research",07/2016,"$1,228,845"
"FNPDA — International Cage-Free Advocacy","Fórum Nacional de Proteção e Defesa Animal","Farm Animal Welfare","Farm Animal Welfare",10/2016,"$100,000"
"Focus Philanthropy – Farm Animal Welfare Fundraising (2024)","Focus Philanthropy","Farm Animal Welfare","Farm Animal Welfare",04/2024,"$440,000"
